,0,1,2,3,4,5,6,7,8,9,10
325,<|startoftext|>,Average human being prefers to be directed,<|and|>,artists don't like to be directed and are actually a bit annoyed by being told exactly what to do,<|notmiddleterm|>,Average human being prefers,<|and|>,artists don't like and are actually a bit annoyed by being told exactly what to do,<|so|>,average human being could not be an artist,<|endoftext|>
2077,<|startoftext|>,Diligence of Japanese people makes them work long efficient hours.,<|and|>,Working long hours has turned Japan to a major world power.,<|notmiddleterm|>,Diligence of Japanese people makes them ,<|and|>,has turned Japan to a major world power.,<|so|>,Diligence of Japanese people turned the country to a major world power.,<|endoftext|>
700,<|startoftext|>,"when a customer places an order online, they take their time to browse the whole of the menu",<|and|>,"When you have an online ordering system, customers can arrange their food online",<|notmiddleterm|>,"a an , they take their time to browse the whole of the menu",<|and|>,"you have an system, can their food ",<|so|>,"When you have an online ordering system, customers Take their time to browse whole of the menu",<|endoftext|>
868,<|startoftext|>,"Caffeine which could last for hours on end, could causes blood pressure to skyrocket.",<|and|>,Energy drinks has caffeine which could last for hours on end.,<|notmiddleterm|>,", could causes blood pressure to skyrocket.",<|and|>,Energy drinks has .,<|so|>,Energy drinks could causes blood pressure to skyrocket.,<|endoftext|>
470,<|startoftext|>,Higher inequality is associated with high murder rates,<|and|>,Low levels of trust in society result in higher inequality,<|notmiddleterm|>, is associated with high murder rates,<|and|>,Low levels of trust in society result in ,<|so|>,Low levels of trust in society is associated with high rates of murder,<|endoftext|>
2205,<|startoftext|>,Tar and Lut are instrumental tools invented by Iranians.,<|and|>,The earliest version of the modern day guitar exists in the form of the Tar or Lut.,<|notmiddleterm|>, are instrumental tools invented by Iranians.,<|and|>,The earliest version of the modern day guitar exists in the form of the,<|so|>,The earliest  instrumental tool version of the modern day guitar invented by Iranians.,<|endoftext|>
2127,<|startoftext|>,Improvement of the steam engine assisted the Industrial Revolution.,<|and|>,James Watt greatly improved the steam engine.,<|notmiddleterm|>, assisted the Industrial Revolution.,<|and|>,James Watt greatly,<|so|>,James Watt assisted the Industrial Revolution.,<|endoftext|>
1674,<|startoftext|>,natural disasters have their root causes in the normal activities of the earth.,<|and|>,naturally harmful events can directly lead to severe threats to human health,<|notmiddleterm|>,have their root causes in the normal activities of the earth.,<|and|>, can directly lead to severe threats to human health,<|so|>,normal activities of the earth can directly lead to severe threats to human health,<|endoftext|>
1474,<|startoftext|>,Various highly-developed gadgets that are connected to the Internet have eased the way we communicate.,<|and|>,a more convenient tool for making contact with others makes people more friendly together.,<|notmiddleterm|>,Various highly-developed gadgets that are connected to the Internet have ,<|and|>,makes people more friendly together.,<|so|>,"Various highly-developed gadgets, connected to the Internet, make people more friendly together.",<|endoftext|>
74,<|startoftext|>,Stress in the parents’ and children’s lives can create more conflict in a home.,<|and|>,presence of struggle in a home can result in sibling rivalry.,<|notmiddleterm|>,Stress in the parents’ and children’s lives can ,<|and|>,can result in sibling rivalry.,<|so|>,Stress in the parents’ and children’s lives can result in sibling rivalry,<|endoftext|>
1731,<|startoftext|>,using non-biodegradable products more will contribute to plastic pollution,<|and|>,all kind of chemical contamination eventually will have an impact on land pollution.,<|notmiddleterm|>,using non-biodegradable products more will ,<|and|>,all kind of  eventually will have an impact on land pollution.,<|so|>,using non-biodegradable products more will have an impact on land pollution.,<|endoftext|>
1041,<|startoftext|>,The venom contains a complex mixture of substances that includes neurotoxins.,<|and|>,Neurotoxins are chemicals that block the conduction of nerve impulses.,<|notmiddleterm|>,The venom contains a complex mixture of substances that includes .,<|and|>,are chemicals that block the conduction of nerve impulses.,<|so|>,The venom contains a complex mixture of substances that includes chemicals that block the conduction of nerve impulses.,<|endoftext|>
847,<|startoftext|>,"Increaseing the flow of blood and oxygen in the body, help to improve heart activity, lower blood pressure and cholesterol levels, and reduce bone and muscle loss.",<|and|>,Jogging increases the flow of blood and oxygen in the body.,<|notmiddleterm|>," help to improve heart activity, lower blood pressure and cholesterol levels, and reduce bone and muscle loss.",<|and|>,Jogging,<|so|>,"Jogging help to improve heart activity, lower blood pressure and cholesterol levels, and reduce bone and muscle loss.",<|endoftext|>
715,<|startoftext|>,Solving Puzzles help us develop problem solving skills,<|and|>,The ability to creatively solve problems gives you a great advantage in the workforce,<|notmiddleterm|>,Puzzles help us develop,<|and|>,The to creativelygives you a great advantage in the workforce,<|so|>,Solving puzzles gives you a great advantage in the workforce,<|endoftext|>
262,<|startoftext|>,all video game publishers are focusing on mobile video game sales,<|and|>,Paradox Interactive is a video game publisher,<|notmiddleterm|>, are focusing on mobile video game sales,<|and|>,Paradox Interactive,<|so|>,the focus of Paradox Interactive is on mobile video game sales,<|endoftext|>
1661,<|startoftext|>,"When water is heated, the molecules circulate quickly.",<|and|>,sharp movement in units of water can lead to boiling.,<|notmiddleterm|>,"When water is heated,  ",<|and|>,can lead to boiling.,<|so|>,heating the water can lead to boiling,<|endoftext|>
2340,<|startoftext|>,"it is always easier to find your favorite item ,with a longer list of products to choose from",<|and|>,retail sales provides you with greater inventory options,<|notmiddleterm|>,"it is always easier to find your favorite item ,",<|and|>,retail sales you ,<|so|>,it is always easier to find your favorite item with retail sales,<|endoftext|>
869,<|startoftext|>,Drak chocolate is full of flavanols.,<|and|>,Flavanols are nutritional that help reducing risk of cardiovascular disease.,<|notmiddleterm|>,Drak chocolate is full of .,<|and|>,are nutritional that help reducing risk of cardiovascular disease.,<|so|>,Drak chocolates help reducing risk of cardiovascular disease.,<|endoftext|>
2035,<|startoftext|>,science and technology upsurge in a country results in fortified infrastructure and prosperity.,<|and|>,Iran has the Highest science & technology growth rate in the world.,<|notmiddleterm|>,in a country results in fortified infrastructure and prosperity.,<|and|>,Iran has the in the world.,<|so|>,Iran has fortified infrastructure and prosperity.,<|endoftext|>
721,<|startoftext|>,it’s easier to concentrate When you're feeling content and relaxed,<|and|>,Solving puzzles help us feel happier and less stressed out,<|notmiddleterm|>,it’s easier to concentrate When you're,<|and|>,Solving puzzles help us,<|so|>,Solving puzzles helps us to concentrate,<|endoftext|>
726,<|startoftext|>,Sitting for too long is deadly,<|and|>,Most television is watched sitting down,<|notmiddleterm|>,for too long is deadly,<|and|>,Most television is watched down,<|so|>,Watching too much television can be deadly,<|endoftext|>
2323,<|startoftext|>,"If you click on a fake link, it will take you to a fake website that demands you to login into your bank account",<|and|>,"When you enter into your bank account, the hacker will begin to steal your money",<|notmiddleterm|>,"If you click on a fake link, it will take you to a fake website that",<|and|>, the hacker will begin to steal your money,<|so|>,If you click on a fake link the hacker will begin to steal your money,<|endoftext|>
417,<|startoftext|>,mumps is a contagious disease caused by a virus,<|and|>,mumps virus makes your saliva galnds swell up,<|notmiddleterm|>,is a contagious disease caused by a ,<|and|>,makes your saliva galnds swell up,<|so|>,mumps is a contagious disease which makes your saliva glands swell up,<|endoftext|>
872,<|startoftext|>,Latex has the potential to become an excellent source of commercial rubber.,<|and|>,Dandelions are weeds that produce a thick liquid called latex.,<|notmiddleterm|>,has the potential to become an excellent source of commercial rubber.,<|and|>,Dandelions are weeds that produce a thick liquid called .,<|so|>,Dandelions are weeds that produce a thick liquid which has the potential to become an excellent source of commercial rubber.,<|endoftext|>
1608,<|startoftext|>,some species can be at risk of extinction when they are supposed to change the habitat,<|and|>,"As land pollution and soil erosion progress, animals are forced to shift their homes and environment.",<|notmiddleterm|>,some species can be at risk of extinction when,<|and|>,"As land pollution and soil erosion progress, ",<|so|>,"As land pollution and soil erosion progress, some species can be at risk of extinction",<|endoftext|>
1303,<|startoftext|>,The best exercises to prevent or manage osteoporosis is muscle-strengthening exercises,<|and|>,Including physical activity in your daily routine helps you better manage your weight.,<|notmiddleterm|>,The best to prevent or manage osteoporosis is,<|and|>,Including  in your daily routine helps you better manage your weight.,<|so|>,Doing muscle-strengthening exercise is incredibly good for managing osteoporosis and weight.,<|endoftext|>
336,<|startoftext|>,a typical 8-ounce (oz) cup of coffee contains around 80–100 mg of caffeine.,<|and|>,Caffeine also can reduce the amount of deep sleep that you enjoy.,<|notmiddleterm|>,a typical 8-ounce (oz) cup of coffee contains around 80–100 mg of .,<|and|>,also can reduce the amount of deep sleep that you enjoy.,<|so|>,drinking coffee can reduce the amount of deep sleep that you enjoy.,<|endoftext|>
1818,<|startoftext|>,Burning oil platforms increased the Carbone Dioxide emission.,<|and|>,Saddam Hussain was involved in the bombardment of Kuwait’s oil platforms.,<|notmiddleterm|>,increased the Carbone Dioxide emission.,<|and|>,Saddam Hussain was involved in the Kuwait’s,<|so|>,Saddam Hussain was involved in increasing the Carbone Dioxide emission in Kuwait.,<|endoftext|>
115,<|startoftext|>,Brown rice has the great amount of magnesium.,<|and|>,"Magnesium makes sure the parathyroid glands, which produce hormones important for bone health, work normally",<|notmiddleterm|>,Brown rice has the great amount of .,<|and|>,"makes sure the parathyroid glands, which produce hormones important for bone health, work normally",<|so|>,"Brown rice makes sure the parathyroid glands, which produce hormones important for bone health, work normally.",<|endoftext|>
1980,<|startoftext|>,Two young journalists revealed the Watergate scandal.,<|and|>,The Watergate scandal made Nixon to resign the presidency.,<|notmiddleterm|>,Two young journalists ,<|and|>,The made Nixon to resign the presidency.,<|so|>,Two young journalists made Nixon to resign the presidency.,<|endoftext|>
1509,<|startoftext|>,Dehydrated leaves fall on the ground in autumn.,<|and|>,People enjoy walking on dried plants on the street.,<|notmiddleterm|>, in autumn.,<|and|>,People enjoy walking on ,<|so|>,poepole enjoy walking in autumn.,<|endoftext|>
2152,<|startoftext|>,Chaharmahal and Bakhtiari is a province located in southwestern part of Iran.,<|and|>,Residents of southwest region in Iran often speak Lurish language.,<|notmiddleterm|>,Chaharmahal and Bakhtiari is a province,<|and|>, often speak Lurish language.,<|so|>,Chaharmahal and Bakhtiarian’s often speak Lurish language.,<|endoftext|>
593,<|startoftext|>,Children tend to trust more to the people they are emotionally attached to,<|and|>,Parents who play with their children create a bond of love with them,<|notmiddleterm|>,tend to trust more to the people they to,<|and|>,Parents who play with their with them,<|so|>,Children tend to trust more to their parents if they play with them,<|endoftext|>
1300,<|startoftext|>,"Olive and fish oil significantly improved handgrip strength, joint pain and morning stiffness.",<|and|>,Rheumatoid arthritis is an autoimmune disease characterized by deformed and painful joints.,<|notmiddleterm|>,Olive and fish oil significantly improved and ,<|and|>,Rheumatoid arthritis is an autoimmune disease characterized by ,<|so|>,Olive oil can help reduce joint pain and swelling from rheumatoid arthritis.,<|endoftext|>
2358,<|startoftext|>,Your customers will be content with your business if you strive to correct your mistakes,<|and|>,Keeping the customer happy with your company is one of the most important factors of successful customer service,<|notmiddleterm|>, if you strive to correct your mistakes,<|and|>, is one of the most important factors of successful customer service,<|so|>,Striving to correct your mistakes is one of the most important factors of successful customer service,<|endoftext|>
2386,<|startoftext|>,Older dams often lack a fish ladder,<|and|>,"with the lack of steps to enable fish to ascend a barrage, failure of breeding cycles is likely to happen",<|notmiddleterm|>,Older dams often,<|and|>,"to enable fish to ascend a barrage, failure of breeding cycles is likely to happen",<|so|>,"with older dams,failure of breeding cycles or blocking of migration paths is likely to happen",<|endoftext|>
211,<|startoftext|>,Care doesn’t mean buying best medicine and most expensive tools.,<|and|>,Health and well-being need care.,<|notmiddleterm|>,doesn’t mean buying best medicine and most expensive tools.,<|and|>,Health and well-being need .,<|so|>,Health and well-being doesn’t need best medicine and most expensive tools.,<|endoftext|>
1457,<|startoftext|>,Sara has a contagious disease and kissed Micheal.,<|and|>,Some diseases can spread easily from one person to another by skin contact.,<|notmiddleterm|>,Sara  Micheal.,<|and|>,Some diseases ,<|so|>,Micheal has a contagious disease.,<|endoftext|>
1290,<|startoftext|>,The medical community defines constipation as a reduction in bowel movements or difficulty passing stools.,<|and|>,"Probiotics are often called ""good"" bacteria, and they may help to improve gut health and soften stools.",<|notmiddleterm|>,The medical community defines as a reduction in,<|and|>,"Probiotics are often called ""good"" bacteria, and they may help to improve",<|so|>,Probiotics can help to relieve constipation.,<|endoftext|>
1439,<|startoftext|>,Recently Ali got a job offer from NASA that resulted in his employment there.,<|and|>,NASA hired all smart people in the world.,<|notmiddleterm|>,Recently Ali got a job offer from NASA that,<|and|>, all smart people in the world.,<|so|>,Ali is smart.,<|endoftext|>
1327,<|startoftext|>,Rainforest Lumina attraction is a night time experience that allows people to visit the zoo after dark,<|and|>,The potential to develop products to attract more overnight tourists could be regarded as an opportunity for the future.,<|notmiddleterm|>,Rainforest Lumina is a  that allows to visit the zoo after ,<|and|>,The potential to develop products to more could be regarded as an opportunity for the future.,<|so|>,Rainforest lumina is an attraction with more growth in the future.,<|endoftext|>
1872,<|startoftext|>,Native Americans were required to find proper food resources in northwest region.,<|and|>,Hunting mammals and saltwater fish provides hunters with adequate amount of food supply in northwest America.,<|notmiddleterm|>,Native were required to ,<|and|>,Hunting mammals and saltwater fish hunters,<|so|>,Native Americans Hunted mammals and saltwater fish to provide food.,<|endoftext|>
574,<|startoftext|>,"In adverse economic conditions, people try to make money in all the illegal means to be rich",<|and|>,"When Authorities and officials try to make money through illegal ways, they engage in corruption",<|notmiddleterm|>,"In adverse economic conditions, people try to  to be rich",<|and|>,"When Authorities and officials try to , they engage in corruption",<|so|>,In adverse economic conditions authorities and officials engage in corruption,<|endoftext|>
1171,<|startoftext|>,A lack of vitamin B12 could lead to vitamin B12 deficiency anaemia,<|and|>,Cheese is a great source of Vitamin B12.,<|notmiddleterm|>,A lack of  could lead to  deficiency anaemia,<|and|>,Cheese is a great source of ,<|so|>,Lack of cheese maybe would lead to vitamin B12 deficiency anaemia.,<|endoftext|>
2446,<|startoftext|>,Common natural hazards include flooding and tropical cyclones,<|and|>,Rapid urbanization is exacerbating the impact of environmental threat,<|notmiddleterm|>,Common  include flooding and tropical cyclones,<|and|>,Rapid urbanization is exacerbating the impact of,<|so|>,Rapid urbanization is exacerbating the impact of flooding and tropical cyclones,<|endoftext|>
1647,<|startoftext|>,Being concern about getting sick makes people more likely to take preventive action.,<|and|>,Pessimistic people will worry more about being ill compared to optimists.,<|notmiddleterm|>,makes people more likely to take preventive action.,<|and|>,Pessimistic people will compared to optimists.,<|so|>,pesimistic people will be more likely to take preventive action about illness,<|endoftext|>
808,<|startoftext|>,"Larger and more complex organic compounds, called polymers, consist of number of basic structural units linked together by chemical bonds.",<|and|>,"Carbohydrates, protein consist of number of basic structural units linked together by chemical bonds.",<|notmiddleterm|>,"Larger and more complex, called polymers, ",<|and|>,,<|so|>,"Carbohydrates, protein are called polymers.",<|endoftext|>
175,<|startoftext|>,Close exposure to sound source can harm eardrums.,<|and|>,Headphones reduce the noise by minimizing the distance between ear and source of the sound.,<|notmiddleterm|>, can harm eardrums.,<|and|>,Headphones reduce the noise by ,<|so|>,Headphones can harm eardrums.,<|endoftext|>
1639,<|startoftext|>,Taking onion along with diabetes medications might make your blood sugar to go too low.,<|and|>,"If blood sugar reaches a small threshold, it can result in shakiness or irregular heartbeats.",<|notmiddleterm|>,Taking onion along with diabetes medications might your ,<|and|>,"If, it can result in shakiness or irregular heartbeats.",<|so|>,Taking onion along with diabetes medications might result in shakiness or irregular heartbeats.,<|endoftext|>
1785,<|startoftext|>,Presence of cracks decreases the beam stiffness.,<|and|>,Flexural loads develop cracks in beam sections.,<|notmiddleterm|>, decreases the  stiffness.,<|and|>,Flexural loads ,<|so|>,Flexural loads decrease the beam stiffness.,<|endoftext|>
1170,<|startoftext|>,Cod is containing large amount of Vitamin B12.,<|and|>,Vitamin B12 is important for releasing energy from food using folic acid.,<|notmiddleterm|>,Cod is containing large amount of,<|and|>, is important for releasing energy from food using folic acid.,<|so|>,Cod in dairy diet is important for releasing energy from food using folic acid.,<|endoftext|>
2423,<|startoftext|>,the absence of transaction costs encourages trade within the eurozone,<|and|>,The euro promotes zero exchange rates,<|notmiddleterm|>, encourages trade within the eurozone,<|and|>,The euro ,<|so|>,The euro encourages trade within the eurozone,<|endoftext|>
2469,<|startoftext|>,Governance is imperative to making the best out of huge opportunities that improve the lives of residents,<|and|>,Future cities offer immense possibilities to enrich the lives of their inhabitants,<|notmiddleterm|>,Governance is imperative to ,<|and|>,Future cities offer ,<|so|>,Governance is imperative to future cities,<|endoftext|>
26,<|startoftext|>,The use of a lot system is unique to direct democracies,<|and|>,the speculation system is a characteristic of Athenian democracy,<|notmiddleterm|>,The use ofis unique to direct democracies,<|and|>, is a characteristic of Athenian democracy,<|so|>,The use of a a characteristic of Athenian democracy is unique to direct democracies,<|endoftext|>
183,<|startoftext|>,Different definitions of happiness comes with different sets of activities.,<|and|>,Each generation has its own definition of happiness.,<|notmiddleterm|>, comes with different sets of activities.,<|and|>,Each generation has its ,<|so|>,Each generation has its own sets of activities.,<|endoftext|>
2217,<|startoftext|>,Colin Firth portrayed the role of a young king in “The King’s Speech”.,<|and|>,“The King’s Speech” received an Oscar for best actor.,<|notmiddleterm|>,Colin Firth portrayed of a young king,<|and|>,received an Oscar for best .,<|so|>,Colin Firth received an Oscar for best actor.,<|endoftext|>
964,<|startoftext|>,The hippocampus allows you to recall everything from typing on your keyboard to your first-grade music recital.,<|and|>,"The hippocampus is the largest part of the brain that accumulates these memories, placing each one in its proper place.",<|notmiddleterm|>,allows you to recall everything from typing on your keyboard to your first-grade music recital.,<|and|>," is the largest part of the brain that accumulates these memories, placing each one in its proper place.",<|so|>,"The largest part of the brain that accumulates these memories, placing each one in its proper place, allows you to recall everything from typing on your keyboard to your first-grade music recital.",<|endoftext|>
2591,<|startoftext|>,The whirling airborne grains act as a sand blasting mechanism,<|and|>,"the operation which crashes sandstones, grinds away solid objects in its path as the kinetic energy of the wind is transferred to the ground",<|notmiddleterm|>,The whirling airborne grains ,<|and|>, grinds away solid objects in its path as the kinetic energy of the wind is transferred to the ground,<|so|>,The whirling airborne grains grinds away solid objects in its path as the kinetic energy of the wind is transferred to the ground,<|endoftext|>
2288,<|startoftext|>,Farmers can turn traditional processes toward intensive methods with the help of factory farming,<|and|>,thousands of dollars of investments will be turned into millions when conventional procedures are transformed into accelerated techniques,<|notmiddleterm|>,Farmers can  with the help of factory farming,<|and|>,thousands of dollars of investments will be turned into millions when ,<|so|>,Farmers can turn thousands of dollars of investments into millions with the help of factory farming,<|endoftext|>
2089,<|startoftext|>,recently improvised outpatient surgical procedure relieves Migrane permenantly.,<|and|>,"Bahman Ghayouran, a prominent Iranian specialist, has developed an outpatient surgical method.",<|notmiddleterm|>, relieves Migrane permenantly.,<|and|>,"Bahman Ghayouran, a prominent Iranian specialist, has ",<|so|>,"Bahman Ghayouran, a prominent Iranian specialist developed a method for resolving Migrane permanently.",<|endoftext|>
2254,<|startoftext|>,Deregulation in the financial industry was the main reason for 2008 financial crisis.,<|and|>,The 2008 financial crisis led millions of Americans to lose their homes to mortgage foreclosures.,<|notmiddleterm|>,Deregulation in the financial industry was the main reason for,<|and|>, led millions of Americans to lose their homes to mortgage foreclosures.,<|so|>,Deregulation in the financial industry led millions of Americans to lose their homes to mortgage foreclosures.,<|endoftext|>
2474,<|startoftext|>,A naturally lit space will help you be more productive than an artificially lit work environment,<|and|>,Strategically lightened houses receive relatively more sunlight,<|notmiddleterm|>,will help you be more productive than an artificially lit work environment,<|and|>,Strategically lightened houses ,<|so|>,Strategically lightened houses help you be more productive than an artificially lit work environment,<|endoftext|>
350,<|startoftext|>,connection with others makes us stronger,<|and|>,Smiling helps to create a bond with others because the act itself is contagious.,<|notmiddleterm|>,makes us stronger,<|and|>,Smiling helps to because the act itself is contagious.,<|so|>,Smiling make us stronger,<|endoftext|>
393,<|startoftext|>,you work better and more efficiently when you are motivated,<|and|>,people tend to be more motivated to work when they're in a comfortable work space,<|notmiddleterm|>,you better and more efficiently when you are ,<|and|>,people tend to be more to when they're in a comfortable work space,<|so|>,you work better and more efficiently when you're in a comfortable work space,<|endoftext|>
613,<|startoftext|>,Exercising becomes difficult when you can't bear heat stresses,<|and|>,"when there is too little water in the body, the individual is less able to tolerate heat strain",<|notmiddleterm|>,Exercising becomes difficult when you ,<|and|>,"when there is too little water in the body, the individual is",<|so|>,"Exercising becomes difficult, when there is too little water in the body",<|endoftext|>
1186,<|startoftext|>,The wind energy is from heat and pressure in weather patterns,<|and|>,The heat and pressure in weather patterns is from sun's energy which warms the surface by sunshine,<|notmiddleterm|>,The wind energy,<|and|>,sun's energy which warms the surface by sunshine,<|so|>,The wind energy power is from sun's energy which warms the surface by sunshine.,<|endoftext|>
345,<|startoftext|>,it is expensive to be sick,<|and|>,hugging may reduce the chances of you falling sick.,<|notmiddleterm|>,it is expensive to,<|and|>,hugging may reduce the chances of you .,<|so|>,Hugging can reduce your costs,<|endoftext|>
326,<|startoftext|>,"People will not trust liars, even when they are telling the truth",<|and|>,All Marketers Are Liars,<|notmiddleterm|>,"People will not trust , even when they are telling the truth",<|and|>,All Marketers Are ,<|so|>,people will not trust marketers,<|endoftext|>
2137,<|startoftext|>,Low performance in body reduces the efficiency of performing tasks.,<|and|>,Extreme fatigue lowers the person’s performance.,<|notmiddleterm|>,reduces the efficiency of performing tasks.,<|and|>,Extreme fatigue,<|so|>,Extreme fatigue reduces the efficiency of performing tasks.,<|endoftext|>
2236,<|startoftext|>,"Several dismemberd individuals suffer from the phenomenon called "" phantom pain"".",<|and|>,Phantom pain is pain that feels like it's coming from a body part that's no longer there.,<|notmiddleterm|>,Several dismemberd individuals suffer from the  ,<|and|>, is pain that feels like it's coming from a body part that's no longer there.,<|so|>,Several dismemberd individuals suffer from pain that feels like it's coming from a body part that's no longer there.,<|endoftext|>
1575,<|startoftext|>,"when the heart beats quicker, the probability of peripheral vascular disease increases.",<|and|>,Carbon monoxide from the smoke and nicotine both put a strain on the heart by making it work faster.,<|notmiddleterm|>,"when, the probability of peripheral vascular disease increases.",<|and|>,Carbon monoxide from the smoke and nicotine both put a strain on the heart by ,<|so|>,Carbon monoxide from the smoke and nicotine both increase the probability of peripheral vascular disease,<|endoftext|>
2637,<|startoftext|>,"In the case of the collateral use of a foreign currency in a state's currency panel, the local currency is backed at a fixed rate by the central bank's holdings of a foreign currency",<|and|>,A central bank may indirectly use another country's currency on a currency board,<|notmiddleterm|>,In the case of the  the local currency is backed at a fixed rate by the central bank's holdings of a foreign currency,<|and|>,A central bank may,<|so|>,A central bank may back the local currency at a fixed rate by its holdings of a foreign currency,<|endoftext|>
2366,<|startoftext|>,The success of a business plan is greatly dependent on its execution,<|and|>,The implementation of a work plan requires clear accountability,<|notmiddleterm|>,The success of a business plan is greatly dependent on,<|and|>, requires clear accountability,<|so|>,The success of a business plan requires clear accountability,<|endoftext|>
2553,<|startoftext|>,"Permanent establishments include roads, railways, airways, waterways, canals and pipelines and terminals",<|and|>,Transport infrastructure consists of fixed installations,<|notmiddleterm|>," include roads, railways, airways, waterways, canals and pipelines and terminals",<|and|>,Transport infrastructure consists of,<|so|>,"Transport infrastructure consists of roads, railways, airways, waterways, canals and pipelines and terminals",<|endoftext|>
771,<|startoftext|>,Lycopene and vitamin C are anti-inflammatory antioxidants found in watermelon,<|and|>,Antioxidants are known to prevent cancer,<|notmiddleterm|>,Lycopene and vitamin C are anti-inflammatory  found in watermelon,<|and|>,are known to prevent cancer,<|so|>,The Lycopene and vitamin C found in watermelon are known to prevent cancer,<|endoftext|>
1009,<|startoftext|>,Rose-Breasted Grosbeak has a heavy beak that is made for munching up foods much tougher than the average bug.,<|and|>,"When a bird has a heavy beak which is made for eating foods much tougher that the average insects, the bird can consume a wide variety of seeds found throughout its natural range.",<|notmiddleterm|>,Rose-Breasted Grosbeak ,<|and|>,"When a bird, the bird can consume a wide variety of seeds found throughout its natural range.",<|so|>,Rose-Breasted Grosbeak can consume a wide variety of seeds found throughout its natural range.,<|endoftext|>
824,<|startoftext|>,A very human need is that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,<|and|>,Procrastination is rooted in a very human need.,<|notmiddleterm|>, is that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,<|and|>,Procrastination is rooted in,<|so|>,Procrastination is rooted in that all of us have to be seen by ourselves and others as capable and competent and and we will actually sacrifice or trade off other needs to meet that need.,<|endoftext|>
2138,<|startoftext|>,"Grey fox, a noble warrior, brutally injured and his arm and leg were amputated.",<|and|>,Professional soldiers with mutilated body parts are attached to an exoskeleton to pursue their life as human-robots.,<|notmiddleterm|>,"Grey fox, a noble warrior, his ",<|and|>,are attached to an exoskeleton to pursue their life as human-robots.,<|so|>,"Grey fox, a noble warrior, is attached to an exoskeleton to pursue his life as a human-robot.",<|endoftext|>
1216,<|startoftext|>,Tree-cutting could cause the climate to be dried in that area.,<|and|>,Turning trees to charcoals could be a reason for loss of forest area.,<|notmiddleterm|>, could cause the climate to be dried in that ,<|and|>,Turning to charcoals could be a reason for,<|so|>,Turning trees to charcoals could cause the climate to be dried in that area.,<|endoftext|>
13,<|startoftext|>,"different acoustical incentives,might in turn impact the way one thinks, feels, or even behaves",<|and|>,Psychological changes have been seen as brain waves slow down or speed up as a result of varying auditory stimulus,<|notmiddleterm|>,",might in turn impact the way one thinks, feels, or even behaves",<|and|>,Psychological changes have been seen as brain waves slow down or speed up as a result of,<|so|>,"Psychological changes have been seen as brain waves slow down or speed up might in turn impact the way one thinks, feels, or even behaves",<|endoftext|>
1475,<|startoftext|>,"to decrease the time cost and commute student issues, many universities decided to offer online courses.",<|and|>,"to attend and hold online classes, we should use advanced technical tools.",<|notmiddleterm|>,"to decrease the time cost and commute student issues, many universities decided to ",<|and|>,", we should use advanced technical tools.",<|so|>,Universities should use advanced technical tools to decrease the time cost and commute student issues.,<|endoftext|>
578,<|startoftext|>,Making economic decisions based on the political condition will likely fail to solve the real problem.,<|and|>,Governmental economic mangers are often motivated by political pressures.,<|notmiddleterm|>,Making decisions based on the condition will likely fail to solve the real problem.,<|and|>,Governmental mangers are often motivated by  pressures.,<|so|>,Governmental economic managers often fail to solve the real problem,<|endoftext|>
455,<|startoftext|>,Reading keeps you mentally stimulated,<|and|>,An energetic mindset can slow the progress of Alzheimer’s,<|notmiddleterm|>,Reading keeps you ,<|and|>,An  can slow the progress of Alzheimer’s,<|so|>,Reading can slow the progress of Alzheimer’s,<|endoftext|>
871,<|startoftext|>,A fishing cat is generally a solitary animal and maintains a territory.,<|and|>,"maintaining a territory is done by rubbing fishing cat's cheeks or chin over an area, releasing a secretion from scent glands as it does so.",<|notmiddleterm|>,Ais generally a solitary animal and ,<|and|>,"is done by rubbing cheeks or chin over an area, releasing a secretion from scent glands as it does so.",<|so|>,"A fishing cat is generally a solitary animal and rubbs its cheeks or chin over an area, releases a secretion from scent glands as it does so.",<|endoftext|>
352,<|startoftext|>,married couples who enjoy each other are most likely to live longer than singles,<|and|>,longer lifespan means improved healthspan,<|notmiddleterm|>,married couples who enjoy each other are most likely to than singles,<|and|>, means improved healthspan,<|so|>,married couples have improved healthspan,<|endoftext|>
1973,<|startoftext|>,Substituting damaged sections of face with new ones helped various people to regain their confidence.,<|and|>,Medical advancement made it possible to perform face tissue transplant.,<|notmiddleterm|>, helped various people to regain their confidence.,<|and|>,Medical advancement ,<|so|>,Medical advancement helped various people to regain their confidence.,<|endoftext|>
1989,<|startoftext|>,Declaration of Islam as official religion in Iran made one of the most important turning points in Muslim history.,<|and|>,The Safavid kings declared Islam as the official religion of the empire.,<|notmiddleterm|>, made one of the most important turning points in Muslim history.,<|and|>,The Safavid kings ,<|so|>,The Safavid kings made one of the most important turning points in Muslim history.,<|endoftext|>
722,<|startoftext|>,Healthy people tend to live longer,<|and|>,People with more social support tend to have a better overall level of health,<|notmiddleterm|>, tend to live longer,<|and|>,with more social support tend to have a overall,<|so|>,People with more social support tend to live longer,<|endoftext|>
